name,date,price,high,low,volume,open
STA,2025-03-21,15,15,14.8,4260591,15
STGT,2025-03-21,7.2,7.3,7.15,3645264,7.25
SUPER,2025-03-21,0.17,0.18,0.17,6330874,0.18
SUPEREIF,2025-03-21,6,6,5.95,53801,6
SYNEX,2025-03-21,11.2,11.8,11.1,1388610,11.8
TASCO,2025-03-21,14.7,14.8,14.6,1221934,14.7
TCAP,2025-03-21,51,51,50,6437496,50
TFFIF,2025-03-21,6.2,6.2,6.15,3384422,6.2
THANI,2025-03-21,1.71,1.78,1.71,4025324,1.78
TIDLOR,2025-03-21,15.3,15.6,15.2,5584156,15.5
TIPCO,2025-03-21,9.55,9.55,9.45,60078,9.5
TISCO,2025-03-21,101,101,99.75,5938352,99.75
TK,2025-03-21,3.58,3.62,3.54,118404,3.62
TKN,2025-03-21,8.15,8.2,8.1,1261954,8.15
TKS,2025-03-21,5.75,5.75,5.65,41903,5.7
TMT,2025-03-21,3.34,3.36,3.28,63747,3.28
TOA,2025-03-21,12.3,12.5,12.1,9300145,12.5
TOP,2025-03-21,27,27.5,26.5,37103861,26.5
TPIPP,2025-03-21,2.26,2.32,2.26,1921297,2.3
TQM,2025-03-21,15.5,15.5,14.8,767950,15
TRUE,2025-03-21,11.1,11.1,10.7,177600797,10.8
TSE,2025-03-21,0.37,0.39,0.35,2858099,0.39
TSTH,2025-03-21,0.49,0.5,0.48,566349,0.5
TTA,2025-03-21,4.34,4.42,4.34,4077605,4.42
TTB,2025-03-21,1.94,2.02,1.93,1103936565,1.97
TTLPF,2025-03-21,12.2,12.2,12.2,4491,12.2
TTW,2025-03-21,8.8,8.9,8.8,1494754,8.8
TU,2025-03-21,11.4,11.4,11,19699923,11.3
TVO,2025-03-21,22.6,22.7,22.4,591947,22.5
TYCN,2025-03-21,1.71,1.71,1.68,200,1.68
VGI,2025-03-21,3.24,3.26,3.1,390063584,3.2
WHA,2025-03-21,3.66,3.74,3.62,100229509,3.68
WHAIR,2025-03-21,5.7,5.75,5.6,356311,5.7
WHART,2025-03-21,10.2,10.4,10,20326938,10.4
WHAUP,2025-03-21,3.68,3.76,3.64,3029704,3.74
WICE,2025-03-21,2.78,2.82,2.76,107800,2.78
WORK,2025-03-21,5.25,5.4,5.25,52352,5.4
