,date,amount,item,kind
0,2025-02-28,10000,Parent,Parent
1,2025-02-28,640,Internet Home,Communication
2,2025-02-28,420,Netflix,Edutainment
3,2025-02-28,320,Parent,Parent
4,2025-02-28,170,Google,Edutainment
5,2025-02-28,240,Apple,Edutainment
6,2025-02-28,700,Apple,Edutainment
