sell_year,sell_month,buy_year,buy_month,name,net
2025,2,2021,8,TMT,-119859.82
2025,2,2021,10,TMT,-85063.93
2025,2,2022,6,TMT,-57483.99
2025,2,2023,2,ASK,-106807.24
2025,2,2024,10,ASK,-7039.29
2025,3,2025,2,ORI,-926.69
2025,4,2022,2,KCE,-45072.99
2025,5,2022,3,ASP,-55283.4
2025,6,2022,2,KCE,-151356.39
2025,7,2021,10,KCE,-129185.73999999999
2025,7,2021,12,KCE,-130582.63
2025,7,2022,1,KCE,-121848.73999999999
2025,7,2025,5,WHAIR,7774.08
2025,7,2025,6,IVL,5048.96
2025,7,2025,6,JMT,2893.67
2025,8,2022,10,RCL,9359.62
2025,8,2023,9,GVREIT,3429.91
2025,8,2025,2,MCS,6391.35
2025,8,2025,3,ORI,2013.4
2025,8,2025,5,JMT,2942.94
2025,8,2025,6,NER,3006.75
2025,8,2025,8,CPF,1206.38
2025,8,2025,8,JMART,347.81
2025,8,2025,8,ORI,566.44
2025,9,2025,3,TVO,10167.21
2025,9,2025,4,DIF,3825.02
2025,9,2025,7,WHART,4295.11
2025,9,2025,8,CPF,-4026.04
2025,9,2025,9,CPF,483.93
2025,10,2025,9,ORI,881.73
2025,10,2025,10,PTT,280.3
2025,10,2025,10,RCL,1151.15
