3BBIF,B
AIMIRT,B
AWC,S
BCH,S
CPNREIT,B
DIF,B
GVREIT,B
JMART,B
KCE,B
MCS,B
NER,B
PTG,S
PTTGC,S
RCL,B
SENA,B
STA,B
SYNEX,S
TFFIF,B
TVO,S
WHAIR,B
