name,qtrly,shares,amount,net,xdate,paiddate,cost_amt,pct,amt_yearly,yearly,actual
AH,0.48,1200,576.0,518.4,2025-03-13,2025-05-23,44400.0,1.17,936.0,2.11,1
AIMIRT,0.215,12500,2687.5,2418.75,2025-03-05,2025-03-21,136250.0,1.78,10750.0,7.89,1
ASP,0.1,30000,3000.0,2700.0,2024-08-27,2024-09-12,114000.0,2.37,5100.0,4.47,0
AWC,0.075,9000,675.0,607.5,2025-05-08,2025-05-28,44640.0,1.36,675.0,1.51,1
BCH,0.25,4000,1000.0,900.0,2024-08-29,2024-09-12,86800.0,1.04,1480.0,1.71,0
CPNREIT,0.0987,55000,5428.5,4885.65,2025-02-27,2025-03-17,990000.0,0.49,37499.0,3.79,1
DIF,0.2222,35000,7777.0,6999.3,2025-02-13,2025-03-07,486500.0,1.44,31108.0,6.39,1
GVREIT,0.2044,75000,15330.0,13797.0,2025-02-26,2025-03-12,573000.0,2.41,59760.0,10.43,1
IVL,0.175,7200,1260.0,1134.0,2025-05-06,2025-05-23,288000.0,0.39,5040.0,1.75,1
JMT,0.28,4200,1176.0,1058.4,2025-02-25,2025-04-30,233100.0,0.45,2772.0,1.19,1
KCE,0.7,10000,7000.0,6300.0,2024-08-26,2024-09-11,772500.0,0.82,13000.0,1.68,0
MCS,0.5,81000,40500.0,36450.0,2025-04-18,2025-05-07,1198800.0,3.04,56700.0,4.73,1
NER,0.31,27000,8370.0,7533.0,2025-04-24,2025-05-09,201150.0,3.74,9720.0,4.83,1
PTG,0.25,3600,900.0,810.0,2025-03-10,2025-05-16,41040.0,1.97,1260.0,3.07,1
PTTGC,0.5,6000,3000.0,2700.0,2025-03-03,2025-04-24,388500.0,0.69,3000.0,0.77,1
RCL,1.5,27000,40500.0,36450.0,2025-03-12,2025-05-16,1046250.0,3.48,67500.0,6.45,1
SCC,2.5,600,1500.0,1350.0,2025-04-02,2025-04-22,243000.0,0.56,3000.0,1.23,1
SENA,0.2342,105000,24591.0,22131.9,2024-05-10,2024-05-24,470400.0,4.7,24591.0,5.23,0
STA,1.0,10000,10000.0,9000.0,2025-04-18,2025-05-08,300000.0,3.0,10000.0,3.33,1
SYNEX,0.26,15000,3900.0,3510.0,2024-08-27,2024-09-10,430500.0,0.82,5400.0,1.25,0
TFFIF,0.1039,20000,2078.0,1870.2,2025-02-27,2025-03-17,150000.0,1.25,9044.0,6.03,1
TOA,0.35,1000,350.0,315.0,2024-08-28,2024-09-13,26000.0,1.21,680.0,2.62,0
TVO,0.93,4000,3720.0,3348.0,2025-03-14,2025-05-16,99600.0,3.36,6920.0,6.95,1
WHAIR,0.0582,50000,2910.0,2619.0,2025-03-03,2025-03-28,435000.0,0.6,27775.0,6.39,1
WHART,0.0756,20000,1512.0,1360.8,2025-03-03,2025-03-19,246000.0,0.55,13062.0,5.31,1
