name,prc_pct,tdy_price,avg_price,qty_pct,tdy_qty,avg_qty
CPNREIT,1.63,12.5,12.3,112.86,4095726,1924142
DIF,0.93,8.1,8.025,19.4,8549282,7159957
TFFIF,0.4,6.2,6.175000000000001,121.15,3384422,1530395
WHAIR,0.0,5.7,5.7,23.71,356311,288020
TVO,-0.44,22.6,22.7,15.76,591947,511339
GVREIT,-0.74,6.7,6.75,95.2,489231,250627
3BBIF,-0.87,5.7,5.75,4.87,6035454,5754958
WHART,-0.97,10.2,10.3,417.88,20326938,3925039
SENA,-1.4,2.12,2.1500000000000004,4.24,212841,204178
TOA,-1.99,12.3,12.55,182.26,9300145,3294897
BCH,-2.93,14.9,15.350000000000001,99.23,15557510,7808945
SYNEX,-4.68,11.2,11.75,74.41,1388610,796159
