name,date,price,change,%change,open,high,low,volume,value(m)
PTTEP,2025-08-04,122.5,-1.0,-0.809717,122.5,123.0,122.0,7329533,898181.49
PTTGC,2025-08-04,24.0,0.3,1.265823,23.8,24.2,23.1,31671618,750094.8222
QH,2025-08-04,1.42,-0.01,-0.699301,1.43,1.44,1.41,9445202,13439.3522
RATCH,2025-08-04,26.0,0.0,0.0,26.25,26.25,25.5,3045944,78844.101
RBF,2025-08-04,3.66,-0.1,-2.659574,3.72,3.74,3.64,2509954,9270.128980000001
RCL,2025-08-04,28.5,-0.75,-2.564103,29.25,29.25,28.5,3773540,108534.2665
RJH,2025-08-04,13.9,0.0,0.0,13.9,14.0,13.8,248264,3456.9989
ROJNA,2025-08-04,4.66,-0.04,-0.851064,4.7,4.72,4.66,1610810,7550.16702
SAPPE,2025-08-04,38.25,0.5,1.324503,37.75,38.75,37.5,1049727,39889.205
SAT,2025-08-04,12.7,-0.2,-1.550388,12.9,12.9,12.7,517405,6628.745
SAWAD,2025-08-04,19.6,0.2,1.030928,19.5,19.7,19.2,16099177,314284.3812
SC,2025-08-04,1.76,0.01,0.571429,1.77,1.77,1.73,3708498,6491.71401
SCB,2025-08-04,126.5,1.5,1.2,126.0,127.0,125.0,7683382,969790.6155
SCC,2025-08-04,203.0,6.0,3.045685,198.0,204.0,197.5,3506188,704500.9295
SCGP,2025-08-04,17.8,0.0,0.0,17.8,17.9,17.5,14485422,257167.77930000002
SENA,2025-08-04,1.74,-0.03,-1.694915,1.76,1.76,1.71,184873,319.33789
SGP,2025-08-04,6.7,0.0,0.0,6.65,6.7,6.6,42040,280.121
SINGER,2025-08-04,5.1,0.0,0.0,5.15,5.2,5.0,2481353,12680.155449999998
SIRI,2025-08-04,1.46,-0.02,-1.351351,1.48,1.48,1.44,46446327,67766.41086
SIS,2025-08-04,22.3,0.0,0.0,22.3,22.3,21.6,242475,5328.958
SJWD,2025-08-04,8.35,0.05,0.60241,8.45,8.45,8.15,1089455,9077.91915
SNC,2025-08-04,5.9,-0.05,-0.840336,5.95,5.95,5.85,67200,394.525
SPALI,2025-08-04,15.6,0.0,0.0,15.6,15.8,15.3,6749618,105890.2264
SPCG,2025-08-04,8.25,0.05,0.609756,8.3,8.3,8.1,177515,1459.4547
SPRC,2025-08-04,5.45,-0.1,-1.801802,5.55,5.55,5.35,15631027,85043.7205
SPRIME,2025-08-04,3.34,0.02,0.60241,3.32,3.34,3.3,52000,172.428
SSP,2025-08-04,4.08,-0.04,-0.970874,4.12,4.12,4.08,122824,504.03238
STA,2025-08-04,13.8,0.0,0.0,13.7,13.8,13.5,5968932,81634.1745
STGT,2025-08-04,7.0,0.05,0.719424,6.8,7.1,6.75,6326748,43889.22935
SUPER,2025-08-04,0.14,-0.01,-6.666667,0.15,0.15,0.14,3286480,483.2472
