name,date,price,change,%change,open,high,low,volume,value(m)
TTLPF,2025-03-21,12.2,0,0,12.2,12.2,12.2,4491,54.7993
TTW,2025-03-21,8.8,-0.05,-0.564972,8.8,8.9,8.8,1494754,13192.830800000002
TU,2025-03-21,11.4,0.1,0.884956,11.3,11.4,11,19699923,222085.9878
TVO,2025-03-21,22.6,0.1,0.444444,22.5,22.7,22.4,591947,13342.873800000001
TYCN,2025-03-21,1.71,-0.06,-3.389831,1.68,1.71,1.68,200,0.339
VGI,2025-03-21,3.24,0.08,2.531646,3.2,3.26,3.1,390063584,1257497.65146
WHA,2025-03-21,3.66,-0.04,-1.081081,3.68,3.74,3.62,100229509,368642.47802
WHAIR,2025-03-21,5.7,0,0,5.7,5.75,5.6,356311,2021.87395
WHART,2025-03-21,10.2,-0.1,-0.970874,10.4,10.4,10,20326938,207229.578
WHAUP,2025-03-21,3.68,-0.06,-1.604278,3.74,3.76,3.64,3029704,11223.363220000001
WICE,2025-03-21,2.78,0.0,0.0,2.78,2.82,2.76,107800,299.7
WORK,2025-03-21,5.25,-0.15,-2.777778,5.4,5.4,5.25,52352,278.00109999999995
