name,fm_date,to_date,fm_price,to_price,percent,qty,max_price,min_price,status,action
3BBIF,2025-03-20,2025-03-20,5.8,5.7,-1.72,62460288,5.8,5.45,B,Insert
AIMIRT,2025-03-14,2025-03-20,10.5,10.6,0.95,900800,10.6,10.4,B,Update
AWC,2025-03-20,2025-03-20,2.82,2.78,-1.42,623268136,2.96,2.76,S,Insert
BCH,2025-03-14,2025-03-20,15.9,15.3,-3.77,56298184,16.1,15.3,S,Update
CPNREIT,2025-03-13,2025-03-20,11.8,12.3,4.24,23723656,12.3,11.6,B,Update
DIF,2025-03-20,2025-03-20,8.05,8.0,-0.62,35288384,8.05,7.8,B,Insert
GVREIT,2025-03-18,2025-03-20,6.55,6.75,3.05,1772052,6.75,6.5,B,Update
JMART,2025-03-19,2025-03-20,9.4,9.8,4.26,30788380,9.8,9.4,B,Update
KCE,2025-03-20,2025-03-20,19.0,18.9,-0.53,27481522,19.5,18.6,B,Insert
MCS,2025-03-20,2025-03-20,7.3,7.25,-0.68,1528836,7.3,7.15,B,Insert
NER,2025-03-19,2025-03-20,4.84,4.94,2.07,7801396,4.94,4.84,B,Update
PTG,2025-03-19,2025-03-20,6.75,6.9,2.22,9837160,6.9,6.7,S,Update
PTTGC,2025-03-20,2025-03-20,18.9,18.7,-1.06,237818816,19.3,17.6,S,Insert
RCL,2025-03-20,2025-03-20,24.2,23.8,-1.65,54567248,24.3,23.5,B,Insert
SENA,2025-03-13,2025-03-20,2.12,2.16,1.89,3398792,2.16,2.1,B,Update
STA,2025-03-20,2025-03-20,15.0,14.9,-0.67,13917228,15.1,14.6,B,Insert
SYNEX,2025-03-20,2025-03-20,11.8,11.7,-0.85,702242,11.8,11.5,S,Insert
TFFIF,2025-03-20,2025-03-20,6.15,6.2,0.81,14932448,6.2,6.1,B,Insert
TVO,2025-03-20,2025-03-20,22.9,22.5,-1.75,16641532,23.5,21.7,S,Insert
WHAIR,2025-03-14,2025-03-20,5.5,5.7,3.64,5783360,5.7,5.45,B,Update
