name,price_d,price_w,percent,perform
ASP,1.98,2.1,-5.714285714285719,Worse
AWC,2.76,2.9,-4.827586206896556,Worse
BCH,14.9,15.6,-4.487179487179483,Worse
SYNEX,11.2,11.4,-1.75438596491229,Worse
TVO,22.6,23.0,-1.7391304347826024,Worse
AIMIRT,10.5,10.6,-0.943396226415091,Worse
TFFIF,6.2,6.2,0.0,No Change
SENA,2.12,2.12,0.0,No Change
SINGER,6.4,6.4,0.0,No Change
RCL,23.6,23.5,0.4255319148936231,Better
MCS,7.3,7.25,0.6896551724137907,Better
KCE,19.1,18.9,1.0582010582010732,Better
GVREIT,6.7,6.6,1.5151515151515234,Better
NER,4.92,4.84,1.6528925619834725,Better
IVL,21.2,20.8,1.9230769230769162,Better
JMART,9.75,9.55,2.0942408376963275,Better
ORI,2.5,2.44,2.4590163934426252,Better
WHART,10.2,9.95,2.512562814070352,Better
STA,15.0,14.6,2.739726027397263,Better
JMT,13.8,13.4,2.9850746268656745,Better
3BBIF,5.7,5.5,3.63636363636364,Better
PTG,6.95,6.7,3.731343283582089,Better
DIF,8.1,7.8,3.8461538461538445,Better
TOA,12.3,11.8,4.23728813559322,Better
WHAIR,5.7,5.45,4.587155963302751,Better
AH,12.7,12.1,4.958677685950411,Better
SCC,163.0,154.0,5.844155844155844,Better
CPNREIT,12.5,11.8,5.932203389830502,Better
PTTGC,18.7,17.5,6.857142857142853,Better
