period,name,shares,date1,date2,price1,price2,change,%change,amount,spd
1,AH,1200,2024-12-30,2025-03-21,16.30,12.70,-3.60,-22.09,-4320.000000000002,-36
1,ASP,30000,2024-12-30,2025-03-21,2.36,1.98,-0.38,-16.10,-11399.999999999996,-20
1,IVL,7200,2024-12-30,2025-03-21,24.90,21.20,-3.70,-14.86,-26639.999999999996,-37
1,ORI,50000,2024-12-30,2025-03-21,3.62,2.50,-1.12,-30.94,-56000.00000000001,-56
1,PTTGC,6000,2024-12-30,2025-03-21,24.40,18.70,-5.70,-23.36,-34199.99999999999,-57
1,SCC,600,2024-12-30,2025-03-21,168.00,163.00,-5.00,-2.98,-3000.0,-10
1,SINGER,6000,2024-12-30,2025-03-21,7.90,6.40,-1.50,-18.99,-9000.0,-30
1,STA,10000,2024-12-30,2025-03-21,18.10,15.00,-3.10,-17.13,-31000.000000000015,-31
1,TOA,1000,2024-12-30,2025-03-21,15.00,12.30,-2.70,-18.00,-2699.999999999999,-27
2,AIMIRT,12500,2024-12-30,2025-03-21,10.60,10.50,-0.10,-0.94,-1249.9999999999955,-1
2,CPNREIT,55000,2024-12-30,2025-03-21,12.30,12.50,0.20,1.63,10999.999999999962,2
2,DIF,35000,2024-12-30,2025-03-21,8.60,8.10,-0.50,-5.81,-17500.0,-10
2,GVREIT,75000,2024-12-30,2025-03-21,6.50,6.70,0.20,3.08,15000.000000000013,4
2,MCS,81000,2024-12-30,2025-03-21,6.70,7.30,0.60,8.96,48599.99999999997,12
2,NER,27000,2024-12-30,2025-03-21,4.62,4.92,0.30,6.49,8099.999999999995,15
2,SENA,105000,2024-12-30,2025-03-21,2.22,2.12,-0.10,-4.50,-10500.00000000001,-5
2,TFFIF,20000,2024-12-30,2025-03-21,6.35,6.20,-0.15,-2.36,-2999.9999999999895,-3
2,WHAIR,50000,2024-12-30,2025-03-21,6.50,5.70,-0.80,-12.31,-39999.99999999999,-16
2,WHART,20000,2024-12-30,2025-03-21,10.20,10.20,0.00,0.00,0.0,0
3,3BBIF,120000,2024-12-30,2025-03-21,5.20,5.70,0.50,9.62,60000.0,10
3,JMART,6800,2024-12-30,2025-03-21,13.20,9.75,-3.45,-26.14,-23459.999999999996,-37
3,JMT,4200,2024-12-30,2025-03-21,18.20,13.80,-4.40,-24.18,-18479.999999999993,-44
3,KCE,10000,2024-12-30,2025-03-21,24.50,19.10,-5.40,-22.04,-53999.999999999985,-54
4,AWC,9000,2024-12-30,2025-03-21,3.52,2.76,-0.76,-21.59,-6840.000000000002,-38
4,BCH,4000,2024-12-30,2025-03-21,15.30,14.90,-0.40,-2.61,-1600.0000000000014,-4
4,PTG,3600,2024-12-30,2025-03-21,8.20,6.95,-1.25,-15.24,-4499.999999999996,-25
4,RCL,27000,2024-12-30,2025-03-21,28.25,23.60,-4.65,-16.46,-125549.99999999996,-26
4,SYNEX,15000,2024-12-30,2025-03-21,15.40,11.20,-4.20,-27.27,-63000.000000000015,-42
4,TVO,8000,2024-12-30,2025-03-21,23.00,22.60,-0.40,-1.74,-3199.9999999999886,-4
