name,price,today_low,today_high,year_low,year_high,percent,updated_at
BEC,3.76,3.76,3.82,3.5,5.25,-1.57,2025-03-21
BEM,5.55,5.45,5.6,5.25,8.45,0.91,2025-03-21
BGC,5.65,5.6,5.7,5.5,7.9,-0.88,2025-03-21
BGRIM,11.2,11.0,11.3,10.9,29.0,0.0,2025-03-21
BH,174.5,174.0,178.0,171.5,284.0,-1.69,2025-03-21
BJC,21.6,21.3,21.6,19.2,26.25,1.41,2025-03-21
BKIH,291.0,291.0,292.0,279.0,316.0,-0.34,2025-03-21
BLA,19.4,19.4,19.8,16.3,25.75,-0.51,2025-03-21
BLAND,0.46,0.45,0.46,0.43,0.71,2.22,2025-03-21
BPP,7.35,7.2,7.4,6.5,15.2,0.68,2025-03-21
BTS,5.45,5.45,5.7,3.72,6.45,-3.54,2025-03-21
BTSGIF,2.84,2.84,2.86,2.78,3.64,0.0,2025-03-21
CBG,62.25,61.5,63.0,58.25,82.0,0.0,2025-03-21
CENTEL,31.75,30.75,32.0,26.0,46.5,2.42,2025-03-21
CHG,1.82,1.8,1.84,1.71,3.08,0.55,2025-03-21
CK,14.5,14.2,14.5,11.6,23.7,2.84,2025-03-21
CKP,2.66,2.58,2.66,2.58,4.28,1.53,2025-03-21
COM7,19.6,19.3,19.8,16.4,28.25,1.03,2025-03-21
CPALL,50.25,50.25,51.5,46.75,68.0,-0.99,2025-03-21
CPF,24.1,23.5,24.1,17.6,26.0,2.12,2025-03-21
CPN,50.25,49.75,50.75,47.75,68.75,1.01,2025-03-21
CPNCG,6.05,6.05,6.15,5.3,6.65,-0.82,2025-03-21
CPNREIT,12.5,12.2,12.5,9.9,13.6,1.63,2025-03-21
CRC,27.0,26.5,27.5,24.2,37.5,-0.92,2025-03-21
DCC,1.43,1.42,1.45,1.18,2.16,-0.69,2025-03-21
DCON,0.29,0.28,0.29,0.27,0.49,3.57,2025-03-21
DELTA,69.0,66.75,69.25,66.75,173.5,3.37,2025-03-21
DIF,8.1,7.95,8.1,7.45,9.85,1.25,2025-03-21
DOHOME,6.3,6.25,6.6,5.68,12.03,-2.33,2025-03-21
DRT,7.2,7.2,7.25,6.8,8.25,-0.69,2025-03-21
EA,2.34,2.34,2.46,2.14,25.03,-3.31,2025-03-21
EASTW,2.02,2.0,2.06,1.98,3.9,1.0,2025-03-21
EGATIF,5.9,5.9,5.95,5.8,6.4,0.0,2025-03-21
EGCO,95.25,94.5,95.5,94.0,128.5,0.0,2025-03-21
EPG,3.14,3.1,3.2,3.0,7.15,-1.88,2025-03-21
FORTH,7.0,7.0,7.1,6.85,18.8,0.0,2025-03-21
FPT,7.0,6.9,7.9,6.45,15.4,0.72,2025-03-21
FSMART,5.85,5.85,6.0,4.6,9.15,-1.68,2025-03-21
FTREIT,10.1,10.1,10.3,7.8,11.3,-1.94,2025-03-21
GC,4.98,4.98,4.98,4.72,5.45,-0.4,2025-03-21
GFPT,8.25,8.25,8.4,8.05,13.4,-1.2,2025-03-21
GGC,4.54,4.44,4.54,3.2,8.5,8.1,2025-03-21
GLOBAL,7.25,7.1,7.3,6.7,16.66,0.69,2025-03-21
GPSC,28.5,28.25,29.0,25.75,56.0,-0.87,2025-03-21
GUNKUL,1.69,1.66,1.7,1.59,2.96,0.6,2025-03-21
GVREIT,6.7,6.5,6.75,4.98,7.15,-0.74,2025-03-21
HANA,16.8,16.7,17.1,15.7,49.75,0.0,2025-03-21
HFT,3.92,3.88,4.0,3.92,4.82,-1.51,2025-03-21
HMPRO,8.2,7.85,8.2,7.5,11.1,3.8,2025-03-21
HTC,16.5,16.4,16.6,15.0,18.0,-0.6,2025-03-21
ICHI,12.6,12.5,12.8,11.9,18.6,0.0,2025-03-21
III,4.8,4.76,4.94,4.18,9.2,-2.44,2025-03-21
ILM,13.9,13.8,14.1,13.8,22.0,-1.42,2025-03-21
IMH,4.16,4.06,4.16,3.9,7.05,0.0,2025-03-21
IMPACT,9.65,9.65,9.85,9.15,12.8,-1.53,2025-03-21
INOX,0.43,0.42,0.43,0.4,0.67,0.0,2025-03-21
IP,3.62,3.38,3.8,2.02,7.3,7.74,2025-03-21
IRPC,0.97,0.97,1.03,0.85,2.06,-3.0,2025-03-21
IVL,21.2,21.0,21.5,16.0,27.5,-0.47,2025-03-21
3BBIF,5.7,5.6,5.7,5.0,6.75,0.0,2025-03-21
JMART,9.75,9.65,9.95,9.1,17.7,-0.51,2025-03-21
JMT,13.8,13.7,14.5,9.9,23.7,-2.82,2025-03-21
KBANK,164.0,161.0,164.0,121.5,164.5,2.18,2025-03-21
KCE,19.1,18.8,19.1,17.0,47.75,1.06,2025-03-21
KEX,1.1,1.06,1.49,0.88,6.5,-27.15,2025-03-21
KGI,4.38,4.34,4.4,3.98,4.84,0.92,2025-03-21
KKP,57.5,56.0,57.5,37.0,58.25,0.88,2025-03-21
KSL,1.46,1.45,1.49,1.25,2.46,0.69,2025-03-21
KTB,24.0,23.4,24.0,15.9,24.7,2.13,2025-03-21
KTC,46.25,46.0,46.5,37.0,52.25,-0.54,2025-03-21
KYE,301.0,298.0,301.0,280.0,342.0,1.69,2025-03-21
LALIN,5.4,5.3,5.4,5.15,7.7,1.89,2025-03-21
LANNA,15.3,15.3,15.4,13.6,17.5,-0.65,2025-03-21
LH,4.42,4.42,4.56,4.18,7.75,-3.49,2025-03-21
LHFG,0.79,0.79,0.8,0.71,1.03,-1.25,2025-03-21
LHK,3.28,3.26,3.28,3.2,4.18,0.61,2025-03-21
LIT,0.47,0.45,0.48,0.44,1.55,-2.08,2025-03-21
LPH,3.96,3.9,3.96,3.7,4.8,0.0,2025-03-21
LPN,2.06,2.06,2.18,2.06,3.64,-5.5,2025-03-21
M,19.0,19.0,20.0,16.7,37.5,-4.52,2025-03-21
MAJOR,11.3,10.7,11.3,10.7,16.0,2.73,2025-03-21
MBAX,1.75,1.71,1.75,1.62,3.34,1.16,2025-03-21
MC,10.1,10.0,10.1,9.65,13.8,1.0,2025-03-21
MCS,7.3,7.25,7.3,5.8,8.2,0.69,2025-03-21
MEGA,32.0,31.5,32.5,29.75,43.75,-1.54,2025-03-21
MINT,27.25,27.0,27.75,22.9,34.0,-0.91,2025-03-21
MTC,42.0,41.5,43.25,37.5,54.0,-2.33,2025-03-21
NER,4.92,4.92,4.96,4.48,6.25,-0.4,2025-03-21
NOBLE,2.48,2.44,2.52,1.99,3.76,0.81,2025-03-21
ONEE,2.64,2.64,2.72,2.56,5.35,-0.75,2025-03-21
OR,10.6,10.6,10.9,10.1,18.9,-0.93,2025-03-21
ORI,2.5,2.48,2.68,2.36,7.45,-6.02,2025-03-21
OSP,15.2,15.2,15.4,13.5,25.0,0.0,2025-03-21
PAP,1.65,1.6,1.65,1.37,2.96,2.48,2025-03-21
PCSGH,3.56,3.54,3.62,3.26,5.2,0.0,2025-03-21
PDG,2.62,2.62,2.64,2.3,2.82,0.0,2025-03-21
PLANB,5.7,5.6,5.75,5.3,8.75,1.79,2025-03-21
POPF,5.7,5.65,5.75,5.35,6.7,0.0,2025-03-21
PREB,3.7,3.68,3.74,3.62,6.4,0.0,2025-03-21
PRM,6.65,6.65,6.8,6.5,9.3,-1.48,2025-03-21
PSH,5.25,5.25,5.45,4.36,11.9,-2.78,2025-03-21
PSL,6.7,6.6,6.85,5.6,11.2,-1.47,2025-03-21
PTG,6.95,6.8,6.95,6.65,10.7,0.72,2025-03-21
PTL,11.1,10.9,11.3,9.15,14.4,-1.77,2025-03-21
PTT,31.75,31.25,32.0,27.0,35.25,3.25,2025-03-21
PTTEP,114.5,112.0,114.5,105.5,164.5,2.69,2025-03-21
PTTGC,18.7,18.4,19.0,14.6,41.25,0.0,2025-03-21
QH,1.58,1.57,1.6,1.52,2.3,-1.25,2025-03-21
RATCH,26.25,25.75,26.25,25.25,34.25,1.94,2025-03-21
RBF,4.92,4.92,5.05,4.62,12.0,-0.4,2025-03-21
RCL,23.6,23.5,23.8,16.2,31.75,-0.84,2025-03-21
RJH,15.2,15.2,15.4,14.7,26.25,-1.94,2025-03-21
ROJNA,5.9,5.8,5.9,5.05,8.05,0.85,2025-03-21
RS,0.69,0.68,0.73,0.6,6.8,-4.17,2025-03-21
S11,2.78,2.78,2.84,1.68,3.32,0.72,2025-03-21
SABUY,0.4,0.39,0.41,0.38,5.5,0.0,2025-03-21
SAPPE,35.75,35.5,36.5,34.5,107.5,-1.38,2025-03-21
SAT,11.2,11.1,11.3,10.0,17.0,0.0,2025-03-21
SAWAD,29.5,29.25,30.75,27.25,45.5,-3.28,2025-03-21
SC,2.5,2.5,2.56,2.3,4.0,-2.34,2025-03-21
SCB,125.0,124.0,125.5,100.0,128.0,0.4,2025-03-21
SCC,163.0,162.5,168.0,124.5,261.0,-1.21,2025-03-21
SCCC,159.0,157.5,160.5,127.5,177.5,-0.63,2025-03-21
SCGP,15.1,15.0,15.8,12.9,35.25,-3.21,2025-03-21
SENA,2.12,2.12,2.16,2.04,3.02,-1.85,2025-03-21
SGP,6.8,6.75,6.9,6.5,8.1,0.74,2025-03-21
SINGER,6.4,6.35,6.65,5.3,12.7,-3.03,2025-03-21
SIRI,1.62,1.61,1.64,1.51,1.94,-1.22,2025-03-21
SIS,23.1,23.1,23.6,20.8,31.25,-1.28,2025-03-21
SJWD,7.2,7.15,7.3,6.45,16.6,0.7,2025-03-21
SKN,5.7,5.7,5.8,4.04,6.4,2.7,2025-03-21
SKR,7.95,7.85,7.95,7.8,10.6,0.0,2025-03-21
SMPC,9.0,8.95,9.0,6.45,10.1,0.0,2025-03-21
SNC,6.5,6.5,6.6,4.72,7.8,-0.76,2025-03-21
SPALI,16.9,16.8,17.4,14.8,21.6,-2.87,2025-03-21
SPCG,7.7,7.55,7.7,7.5,12.1,0.65,2025-03-21
SPRC,5.65,5.55,5.75,4.92,9.05,1.8,2025-03-21
SPRIME,4.1,4.08,4.1,3.66,4.56,0.49,2025-03-21
SSP,5.25,5.2,5.3,4.96,8.2,-0.94,2025-03-21
STA,15.0,14.8,15.0,14.2,25.75,0.67,2025-03-21
STANLY,222.0,220.0,222.0,199.5,231.0,0.0,2025-03-21
STGT,7.2,7.15,7.3,6.9,13.3,-0.69,2025-03-21
SUPER,0.17,0.17,0.18,0.16,0.32,-5.56,2025-03-21
SUPEREIF,6.0,5.95,6.0,5.6,7.05,0.0,2025-03-21
SVI,7.3,7.1,7.55,6.1,9.4,-2.67,2025-03-21
SYNEX,11.2,11.1,11.8,9.8,16.7,-4.27,2025-03-21
TASCO,14.7,14.6,14.8,14.5,20.0,0.68,2025-03-21
TCAP,51.0,50.0,51.0,43.25,53.5,2.0,2025-03-21
TFFIF,6.2,6.15,6.2,6.0,7.2,0.0,2025-03-21
TFG,4.4,4.3,4.4,3.02,4.84,1.38,2025-03-21
THANI,1.71,1.71,1.78,1.15,2.5,-3.39,2025-03-21
THG,8.75,8.6,8.85,8.7,43.75,-0.57,2025-03-21
TIDLOR,15.3,15.2,15.6,12.5,22.47,-1.29,2025-03-21
TIPH,20.6,20.6,21.0,19.8,32.25,-1.44,2025-03-21
TIPCO,9.55,9.45,9.55,9.45,10.6,0.53,2025-03-21
TISCO,101.0,99.75,101.0,90.0,101.0,1.25,2025-03-21
TK,3.58,3.54,3.62,3.44,5.55,-2.72,2025-03-21
TKN,8.15,8.1,8.2,7.7,12.2,0.0,2025-03-21
TKS,5.75,5.65,5.75,4.94,9.0,0.0,2025-03-21
TMT,3.34,3.28,3.36,2.6,5.75,2.45,2025-03-21
TMW,55.0,54.5,55.25,44.75,66.75,0.92,2025-03-21
TOA,12.3,12.1,12.5,10.8,26.0,-1.6,2025-03-21
TOP,27.0,26.5,27.5,22.4,60.0,2.86,2025-03-21
TPIPL,0.99,0.99,1.01,0.86,1.39,-1.0,2025-03-21
TPIPP,2.26,2.26,2.32,2.24,3.32,-1.74,2025-03-21
TQM,15.5,14.8,15.5,13.7,33.25,4.03,2025-03-21
TRUE,11.1,10.7,11.1,7.55,13.3,3.74,2025-03-21
TSE,0.37,0.35,0.39,0.34,1.3,-5.13,2025-03-21
TSTH,0.49,0.48,0.5,0.47,0.85,-2.0,2025-03-21
TTA,4.34,4.34,4.42,3.96,8.5,-1.81,2025-03-21
TTB,1.94,1.93,2.02,1.59,2.06,1.04,2025-03-21
TTLPF,12.2,12.2,12.2,11.9,18.0,0.0,2025-03-21
TTW,8.8,8.8,8.9,8.5,9.5,-0.56,2025-03-21
TU,11.4,11.0,11.4,10.7,15.8,0.88,2025-03-21
TVO,22.6,22.4,22.7,18.6,25.25,0.44,2025-03-21
UTP,7.95,7.9,8.0,7.3,11.8,-0.63,2025-03-21
VGI,3.24,3.1,3.26,1.2,3.68,2.53,2025-03-21
VIBHA,1.59,1.58,1.6,1.55,2.34,-0.63,2025-03-21
VNG,2.5,2.5,2.54,2.5,3.92,-1.57,2025-03-21
WHA,3.66,3.62,3.74,3.28,6.2,-1.08,2025-03-21
WHAIR,5.7,5.6,5.75,5.3,6.75,0.0,2025-03-21
WHART,10.2,10.0,10.4,7.65,10.8,-0.97,2025-03-21
WHAUP,3.68,3.64,3.76,3.16,5.5,-1.6,2025-03-21
WICE,2.78,2.76,2.82,2.6,7.55,0.0,2025-03-21
WORK,5.25,5.25,5.4,5.0,11.1,-2.78,2025-03-21
