name,price,today_low,today_high,year_low,year_high,percent,updated_at
ACE,1.29,1.28,1.3,1.23,1.49,-1.53,2025-03-21
ADVANC,268.0,261.0,268.0,193.0,307.0,0.75,2025-03-21
AEONTS,107.0,106.5,108.5,101.5,168.5,0.47,2025-03-21
AH,12.7,12.5,12.9,12.0,23.7,-1.55,2025-03-21
AIE,1.4,1.4,1.5,0.72,1.8,-3.45,2025-03-21
AIMIRT,10.5,10.4,10.6,10.2,11.2,-0.94,2025-03-21
AIT,4.58,4.58,4.66,3.74,5.05,-0.87,2025-03-21
AJ,2.42,2.42,2.48,1.99,7.15,0.0,2025-03-21
AMATA,22.0,21.7,22.1,20.1,31.0,0.46,2025-03-21
ANAN,0.63,0.63,0.71,0.4,0.9,-11.27,2025-03-21
AOT,40.0,40.0,40.75,37.75,67.5,-1.23,2025-03-21
AP,8.75,8.75,8.9,7.5,11.2,-1.69,2025-03-21
ASIAN,8.05,8.0,8.2,6.35,11.2,-1.23,2025-03-21
ASK,7.45,7.4,7.55,6.75,17.9,-1.97,2025-03-21
ASP,1.98,1.98,2.0,1.98,2.72,-0.5,2025-03-21
ASW,6.65,6.6,6.65,6.4,8.2,0.76,2025-03-21
AWC,2.76,2.76,2.82,2.74,4.58,-0.72,2025-03-21
BA,18.7,18.5,19.1,15.4,26.0,0.0,2025-03-21
BAM,6.5,6.4,6.65,5.35,10.4,-1.52,2025-03-21
BANPU,4.48,4.4,4.5,4.04,7.5,1.82,2025-03-21
BAY,22.7,22.7,23.0,22.2,29.0,-1.3,2025-03-21
BBL,151.0,149.0,151.0,129.0,161.5,1.34,2025-03-21
BCH,14.9,14.5,15.3,13.4,21.8,-2.61,2025-03-21
BCP,37.75,37.25,38.0,26.5,47.5,0.0,2025-03-21
BCPG,7.05,7.0,7.25,5.05,7.8,-2.08,2025-03-21
BDMS,22.8,22.6,23.4,22.2,31.25,-2.56,2025-03-21
BE8,11.7,11.6,11.9,10.6,29.5,0.0,2025-03-21
BEAUTY,0.25,0.25,0.26,0.2,0.73,0.0,2025-03-21
