number,video_id,title_modify,fm,to,min,dd_mmm,title_origin
1,jYoYCbhuWNk,สามก๊ก ฉบับนักบริหาร,1,2,33,25-Jul,สุทธิชัย หยุ่น อ่านหนังสือดีๆ ให้ฟัง สามก๊ก ฉบับนักบริหาร  บทที่ 1-2
2,QGPJ-baIsC4,สามก๊ก ฉบับนักบริหาร,3,4,26,26-Jul,สุทธิชัย หยุ่น อ่านหนังสือดีๆ ให้ฟัง สามก๊ก ฉบับนักบริหาร  บทที่ 3-4
3,XoCtgcjwTPQ,สามก๊ก ฉบับนักบริหาร,5,6,30,27-Jul,สุทธิชัย หยุ่น อ่านหนังสือดีๆ ให้ฟัง สามก๊ก ฉบับนักบริหาร  บทที่ 5-6
4,Srny3hSBno8,สามก๊ก ฉบับนักบริหาร,7,8,26,28-Jul,สุทธิชัย หยุ่น อ่านหนังสือดีๆ ให้ฟัง สามก๊ก ฉบับนักบริหาร บทที่ 7-8
5,Bu1EyM1_IJU,สามก๊ก ฉบับนักบริหาร,9,10,27,29-Jul,สุทธิชัย หยุ่น อ่านหนังสือดีๆ ให้ฟัง สามก๊ก ฉบับนักบริหาร  บทที่ 9-10
6,0TUgEkGkKqQ,สามก๊ก ฉบับนักบริหาร,11,12,25,30-Jul,สุทธิชัย หยุ่น อ่านหนังสือดีๆ ให้ฟัง สามก๊ก ฉบับนักบริหาร  บทที่ 11-12
7,BR21jE9ArGA,สามก๊ก ฉบับนักบริหาร,13,14,27,01-Aug,สุทธิชัย หยุ่น อ่านหนังสือดีๆ ให้ฟัง สามก๊ก ฉบับนักบริหาร บทที่ 13 -14
8,2eV3MwGycQ0,สามก๊ก ฉบับนักบริหาร,15,16,27,02-Aug,"อ่านหนังสือดีๆให้ฟัง ""สามก๊ก ฉบับนักบริหาร"" บทที่ 15-16"
9,Q-lCHVQ5EWw,สามก๊ก ฉบับนักบริหาร,17,18,27,03-Aug,"อ่านหนังสือดีๆให้ฟัง ""สามก๊ก ฉบับนักบริหาร"" บทที่ 17-18"
10,a3wahIDyhxI,สามก๊ก ฉบับนักบริหาร,19,20,27,04-Aug,สุทธิชัย หยุ่น อ่านหนังสือดีๆ ให้ฟัง สามก๊ก ฉบับนักบริหาร  บทที่ 19-20
11,r-U9-lnAHy0,สามก๊ก ฉบับนักบริหาร,21,22,28,05-Aug,สุทธิชัย หยุ่น อ่านหนังสือดีๆ ให้ฟัง สามก๊ก ฉบับนักบริหาร  บทที่ 21-22
12,ugl1TUMJgRQ,สามก๊ก ฉบับนักบริหาร,23,24,26,06-Aug,สุทธิชัย หยุ่น อ่านหนังสือดีๆ ให้ฟัง สามก๊ก ฉบับนักบริหาร  บทที่ 23-24
13,-c4HNS_eEcE,สามก๊ก ฉบับนักบริหาร,25,26,28,07-Aug,สุทธิชัย หยุ่น อ่านหนังสือดีๆ ให้ฟัง สามก๊ก ฉบับนักบริหาร  บทที่ 25-26
14,CqEdugrHd7Q,สามก๊ก ฉบับนักบริหาร,27,28,28,08-Aug,สุทธิชัย หยุ่น อ่านหนังสือดีๆ ให้ฟัง สามก๊ก ฉบับนักบริหาร  บทที่ 27-28
15,Io_NQjCANGA,สามก๊ก ฉบับนักบริหาร,29,30,28,09-Aug,"สุทธิชัย หยุ่น อ่านหนังสือดีๆให้ฟัง ""สามก๊ก ฉบับนักบริหาร"" บทที่ 29-30"
16,dvZuas3OkLE,สามก๊ก ฉบับนักบริหาร,31,32,26,10-Aug,"สุทธิชัย หยุ่น อ่านหนังสือดีๆให้ฟัง ""สามก๊ก ฉบับนักบริหาร"" บทที่ 31-32"
17,q2Mhqxbv9cY,สามก๊ก ฉบับนักบริหาร,33,34,29,11-Aug,"สุทธิชัย หยุ่น อ่านหนังสือดีๆให้ฟัง ""สามก๊ก ฉบับนักบริหาร"" บทที่ 33-34 "
18,vPEChdeGDP4,สามก๊ก ฉบับนักบริหาร,35,36,29,12-Aug,"สุทธิชัย หยุ่น อ่านหนังสือดีๆให้ฟัง ""สามก๊ก ฉบับนักบริหาร"" บทที่ 35-36"
19,GPd0hANr4pc,สามก๊ก ฉบับนักบริหาร,37,38,29,13-Aug,"สุทธิชัย หยุ่น อ่านหนังสือดีๆให้ฟัง ""สามก๊ก ฉบับนักบริหาร"" บทที่ 37-38"
20,h_03elWSdDo,สามก๊ก ฉบับนักบริหาร,39,40,30,14-Aug,"สุทธิชัย หยุ่น อ่านหนังสือดีๆให้ฟัง ""สามก๊ก ฉบับนักบริหาร"" บทที่ 39-40"
21,mWc-zhd8ck4,สามก๊ก ฉบับนักบริหาร,41,42,29,15-Aug,"สุทธิชัย หยุ่น อ่านหนังสือดีๆให้ฟัง ""สามก๊ก ฉบับนักบริหาร"" บทที่ 41-42"
22,O21VlFWOb3M,สามก๊ก ฉบับนักบริหาร,43,44,29,16-Aug,"สุทธิชัย หยุ่น อ่านหนังสือดีๆให้ฟัง ""สามก๊ก ฉบับนักบริหาร"" บทที่ 43-44"
23,CuViSLtRXAc,สามก๊ก ฉบับนักบริหาร,45,46,28,17-Aug,สุทธิชัย หยุ่น อ่านหนังสือดีๆ ให้ฟัง สามก๊ก ฉบับนักบริหาร บทที่ 45-46 
