song_title,artist,filename,id,youtube_code,peak,rms,new_p,new_r
Me and Bobby McGee,Janis Joplin,Me and Bobby McGee_Janis Joplin.mp4,137,5Cg-j0X09Ag,,,,
Mei Chu Xi,Wang Luo Ge Shou,Mei Chu Xi_Wang Luo Ge Shou.mp4,517,D--sPRrefn8,,,,
Memories,Maroon 5,Memories_Maroon 5 .mp4,516,SlPhMPnQ58k,,,,
More Than Words,Extreme,More Than Words_Extreme .mp4,502,UrIiLvg58SY,,,,
Mr. Tambourine Man,Bob Dylan,Mr. Tambourine Man_Bob Dylan.mp4,79,NyOzGPbn2tg,,,,
Mr. Tambourine Man,Bob Dylan,Mr. Tambourine Man_Bob Dylan.mp4,109,oecX_1pqxk0,,,,
Need You Now,Antebellum Lady,Need You Now_Antebellum Lady.mp4,524,eM213aMKTHg,,,,
"No Woman, No Cry",Bob Marley and the Wailers,"No Woman, No Cry_Bob Marley and the Wailers .mp4",37,mZ6VezKMoRY,,,,
One More Night,Maroon 5,One More Night_Maroon 5 .mp4,522,fwK7ggA3-bU,,,,
One Night In Bangkok,Murray Head,One Night In Bangkok_Murray Head.mp4,542,rgc_LRjlbTU,,,,
Opalite,Taylor Swift,Opalite_Taylor Swift.mp4,504,DN0G0Lbj6os,,,,
Peaceful Easy Feeling,Eagles The,Peaceful Easy Feeling_Eagles The.mp4,513,J0wqKxfyH8M,,,,
People Get Ready,Rod Stewart,People Get Ready_Rod Stewart.mp4,26,l04yM7-BWbg,,,,
People Get Ready,Rod Stewart,People Get Ready_Rod Stewart.mp4,549,yC_j_dzkaVE,,,,
Perfect,Ed Sheeran,Perfect_Ed Sheeran.mp4,487,9H_sZO0yJKs,2.45,-9.09,-2.46,-14.00
Rolling in the Deep,Adele,Rolling in the Deep_Adele .mp4,536,rYEDA3JcQqw,,,,
See You Again,Wiz Khalifa,See You Again_Wiz Khalifa.mp4,514,RgKAFK5djSk,,,,
Shallow,Lady Gaga,Shallow_Lady Gaga.mp4,492,bo_efYhYU2A,,,,
Shape of You,Ed Sheeran,Shape of You_Ed Sheeran.mp4,503,JGwWNGJdvx8,,,,
